snapshot_index,age_myr,phase,stored_index_inner_to_outer,radius_pc,R2_pc,R_IF_pc,r_shell_pc,temperature_K_assumed_TShell_ion,nH_internal_pc_minus3,nH_cm_minus3,nH_T_K_cm_minus3,muH_over_mu_ion_shell,P_total_over_kB_K_cm_minus3,scalar_PHII_over_kB_K_cm_minus3
222,1.9800297943722138,momentum,0,6.408604029057816,6.408604029057816,25.52460402906521,25.56260402906512,10000.0,2.0103626989660072e+56,6.842625664100836,68426.25664100835,2.1999999999999997,150537.76461021835,150537.76461021826
222,1.9800297943722138,momentum,1,6.77860402905794,6.408604029057816,25.52460402906521,25.56260402906512,10000.0,2.043741362510401e+56,6.9562358598728355,69562.35859872836,2.1999999999999997,153037.18891720238,150537.76461021826
222,1.9800297943722138,momentum,2,7.149604029058064,6.408604029057816,25.52460402906521,25.56260402906512,10000.0,2.0740641445630257e+56,7.059444821512915,70594.44821512914,2.1999999999999997,155307.7860732841,150537.76461021826
222,1.9800297943722138,momentum,3,7.522604029058188,6.408604029057816,25.52460402906521,25.56260402906512,10000.0,2.101794334725736e+56,7.153829437271728,71538.29437271728,2.1999999999999997,157384.247619978,150537.76461021826
222,1.9800297943722138,momentum,4,7.895604029058313,6.408604029057816,25.52460402906521,25.56260402906512,10000.0,2.12711422953434e+56,7.240010185710205,72400.10185710205,2.1999999999999997,159280.2240856245,150537.76461021826
222,1.9800297943722138,momentum,5,8.269604029058438,6.408604029057816,25.52460402906521,25.56260402906512,10000.0,2.1503815315951006e+56,7.3192045710304425,73192.04571030443,2.1999999999999997,161022.50056266974,150537.76461021826
222,1.9800297943722138,momentum,6,8.643604029058352,6.408604029057816,25.52460402906521,25.56260402906512,10000.0,2.171779513004775e+56,7.3920363922879195,73920.3639228792,2.1999999999999997,162624.8006303342,150537.76461021826
222,1.9800297943722138,momentum,7,9.017604029058145,6.408604029057816,25.52460402906521,25.56260402906512,10000.0,2.1915249025492557e+56,7.45924332430781,74592.43324307809,2.1999999999999997,164103.35313477178,150537.76461021826
222,1.9800297943722138,momentum,8,9.391604029057937,6.408604029057816,25.52460402906521,25.56260402906512,10000.0,2.2098032051308535e+56,7.521456765894927,75214.56765894927,2.1999999999999997,165472.04884968838,150537.76461021826
222,1.9800297943722138,momentum,9,9.76660402905773,6.408604029057816,25.52460402906521,25.56260402906512,10000.0,2.22681777417675e+56,7.579368866471081,75793.68866471082,2.1999999999999997,166746.1150623638,150537.76461021826
222,1.9800297943722138,momentum,10,10.140604029057522,6.408604029057816,25.52460402906521,25.56260402906512,10000.0,2.2426163343696107e+56,7.633142065450107,76331.42065450107,2.1999999999999997,167929.12543990233,150537.76461021826
222,1.9800297943722138,momentum,11,10.515604029057315,6.408604029057816,25.52460402906521,25.56260402906512,10000.0,2.257404011365238e+56,7.683474544347948,76834.74544347948,2.1999999999999997,169036.43997565482,150537.76461021826
222,1.9800297943722138,momentum,12,10.890604029057107,6.408604029057816,25.52460402906521,25.56260402906512,10000.0,2.2712423745155105e+56,7.730575865363257,77305.75865363257,2.1999999999999997,170072.66903799164,150537.76461021826
222,1.9800297943722138,momentum,13,11.265604029056899,6.408604029057816,25.52460402906521,25.56260402906512,10000.0,2.284223926819769e+56,7.774760878844989,77747.6087884499,2.1999999999999997,171044.73933458974,150537.76461021826
222,1.9800297943722138,momentum,14,11.640604029056691,6.408604029057816,25.52460402906521,25.56260402906512,10000.0,2.2964297752195247e+56,7.81630564664,78163.0564664,2.1999999999999997,171958.72422607997,150537.76461021826
222,1.9800297943722138,momentum,15,12.015604029056483,6.408604029057816,25.52460402906521,25.56260402906512,10000.0,2.307931503936741e+56,7.855453818331818,78554.53818331817,2.1999999999999997,172819.98400329996,150537.76461021826
222,1.9800297943722138,momentum,16,12.390604029056275,6.408604029057816,25.52460402906521,25.56260402906512,10000.0,2.3187925251125887e+56,7.892421228378982,78924.21228378982,2.1999999999999997,173633.26702433758,150537.76461021826
222,1.9800297943722138,momentum,17,12.765604029056068,6.408604029057816,25.52460402906521,25.56260402906512,10000.0,2.329069047942156e+56,7.9273991947367355,79273.99194736735,2.1999999999999997,174402.78228420814,150537.76461021826
222,1.9800297943722138,momentum,18,13.14060402905586,6.408604029057816,25.52460402906521,25.56260402906512,10000.0,2.338811232939414e+56,7.960558447602371,79605.58447602371,2.1999999999999997,175132.28584725215,150537.76461021826
222,1.9800297943722138,momentum,19,13.515604029055652,6.408604029057816,25.52460402906521,25.56260402906512,10000.0,2.3480638390421916e+56,7.992051331951671,79920.5133195167,2.1999999999999997,175825.12930293672,150537.76461021826
222,1.9800297943722138,momentum,20,13.891604029055443,6.408604029057816,25.52460402906521,25.56260402906512,10000.0,2.356889746918709e+56,8.022091873280809,80220.91873280809,2.1999999999999997,176486.02121217776,150537.76461021826
222,1.9800297943722138,momentum,21,14.266604029055236,6.408604029057816,25.52460402906521,25.56260402906512,10000.0,2.3652781867176325e+56,8.050643414492454,80506.43414492454,2.1999999999999997,177114.15511883397,150537.76461021826
222,1.9800297943722138,momentum,22,14.641604029055028,6.408604029057816,25.52460402906521,25.56260402906512,10000.0,2.3732855833095497e+56,8.077898007631624,80778.98007631625,2.1999999999999997,177713.7561678957,150537.76461021826
222,1.9800297943722138,momentum,23,15.01660402905482,6.408604029057816,25.52460402906521,25.56260402906512,10000.0,2.3809410335018364e+56,8.103954688837922,81039.54688837922,2.1999999999999997,178287.00315443426,150537.76461021826
222,1.9800297943722138,momentum,24,15.392604029054612,6.408604029057816,25.52460402906521,25.56260402906512,10000.0,2.3882902181885686e+56,8.128968941128573,81289.68941128573,2.1999999999999997,178837.31670482858,150537.76461021826
222,1.9800297943722138,momentum,25,15.767604029054404,6.408604029057816,25.52460402906521,25.56260402906512,10000.0,2.3953179761763283e+56,8.152889160695354,81528.89160695353,2.1999999999999997,179363.56153529775,150537.76461021826
222,1.9800297943722138,momentum,26,16.142604029054198,6.408604029057816,25.52460402906521,25.56260402906512,10000.0,2.4020660108178838e+56,8.175857292288871,81758.5729228887,2.1999999999999997,179868.86043035513,150537.76461021826
222,1.9800297943722138,momentum,27,16.518604029054202,6.408604029057816,25.52460402906521,25.56260402906512,10000.0,2.4085710913202557e+56,8.19799848642039,81979.9848642039,2.1999999999999997,180355.96670124854,150537.76461021826
222,1.9800297943722138,momentum,28,16.89360402905466,6.408604029057816,25.52460402906521,25.56260402906512,10000.0,2.4148165871568022e+56,8.219256138145708,82192.56138145708,2.1999999999999997,180823.63503920555,150537.76461021826
222,1.9800297943722138,momentum,29,17.26860402905512,6.408604029057816,25.52460402906521,25.56260402906512,10000.0,2.420836686179583e+56,8.239746611877088,82397.46611877088,2.1999999999999997,181274.42546129593,150537.76461021826
222,1.9800297943722138,momentum,30,17.64460402905558,6.408604029057816,25.52460402906521,25.56260402906512,10000.0,2.426661656552913e+56,8.259572930675022,82595.72930675022,2.1999999999999997,181710.60447485046,150537.76461021826
222,1.9800297943722138,momentum,31,18.019604029056037,6.408604029057816,25.52460402906521,25.56260402906512,10000.0,2.4322741924409104e+56,8.278676191060647,82786.76191060647,2.1999999999999997,182130.8762033342,150537.76461021826
222,1.9800297943722138,momentum,32,18.394604029056495,6.408604029057816,25.52460402906521,25.56260402906512,10000.0,2.4377028630225016e+56,8.297153633296643,82971.53633296644,2.1999999999999997,182537.37993252615,150537.76461021826
222,1.9800297943722138,momentum,33,18.770604029056955,6.408604029057816,25.52460402906521,25.56260402906512,10000.0,2.4429730574070027e+56,8.315091673715289,83150.91673715289,2.1999999999999997,182932.01682173632,150537.76461021826
222,1.9800297943722138,momentum,34,19.145604029057413,6.408604029057816,25.52460402906521,25.56260402906512,10000.0,2.4480673947183266e+56,8.332431153425084,83324.31153425084,2.1999999999999997,183313.48537535183,150537.76461021826
222,1.9800297943722138,momentum,35,19.52060402905787,6.408604029057816,25.52460402906521,25.56260402906512,10000.0,2.4530100773514486e+56,8.349254449565775,83492.54449565776,2.1999999999999997,183683.59789044704,150537.76461021826
222,1.9800297943722138,momentum,36,19.89660402905833,6.408604029057816,25.52460402906521,25.56260402906512,10000.0,2.4578227509168678e+56,8.365635236808105,83656.35236808105,2.1999999999999997,184043.9752097783,150537.76461021826
222,1.9800297943722138,momentum,37,20.27160402905879,6.408604029057816,25.52460402906521,25.56260402906512,10000.0,2.462488290427273e+56,8.381515227223364,83815.15227223364,2.1999999999999997,184393.33499891398,150537.76461021826
222,1.9800297943722138,momentum,38,20.64760402905925,6.408604029057816,25.52460402906521,25.56260402906512,10000.0,2.46703941349134e+56,8.397005780989948,83970.05780989949,2.1999999999999997,184734.12718177887,150537.76461021826
222,1.9800297943722138,momentum,39,21.022604029059707,6.408604029057816,25.52460402906521,25.56260402906512,10000.0,2.471459070063507e+56,8.41204886525667,84120.48865256671,2.1999999999999997,185065.07503564673,150537.76461021826
222,1.9800297943722138,momentum,40,21.397604029060165,6.408604029057816,25.52460402906521,25.56260402906512,10000.0,2.4757662913637525e+56,8.42670925615289,84267.0925615289,2.1999999999999997,185387.60363536357,150537.76461021826
222,1.9800297943722138,momentum,41,21.773604029060625,6.408604029057816,25.52460402906521,25.56260402906512,10000.0,2.479978341477109e+56,8.441045715051057,84410.45715051057,2.1999999999999997,185703.00573112324,150537.76461021826
222,1.9800297943722138,momentum,42,22.148604029061083,6.408604029057816,25.52460402906521,25.56260402906512,10000.0,2.4840785776092523e+56,8.455001595251732,84550.01595251732,2.1999999999999997,186010.0350955381,150537.76461021826
222,1.9800297943722138,momentum,43,22.524604029061543,6.408604029057816,25.52460402906521,25.56260402906512,10000.0,2.4880943080148866e+56,8.468669845238582,84686.69845238581,2.1999999999999997,186310.73659524877,150537.76461021826
222,1.9800297943722138,momentum,44,22.899604029062,6.408604029057816,25.52460402906521,25.56260402906512,10000.0,2.4920091579167107e+56,8.481994730555595,84819.94730555595,2.1999999999999997,186603.88407222307,150537.76461021826
222,1.9800297943722138,momentum,45,23.27460402906246,6.408604029057816,25.52460402906521,25.56260402906512,10000.0,2.4958386334255878e+56,8.495029028998639,84950.29028998638,2.1999999999999997,186890.63863797003,150537.76461021826
222,1.9800297943722138,momentum,46,23.65060402906292,6.408604029057816,25.52460402906521,25.56260402906512,10000.0,2.499596984944346e+56,8.507821244338786,85078.21244338785,2.1999999999999997,187172.06737545325,150537.76461021826
222,1.9800297943722138,momentum,47,24.025604029063377,6.408604029057816,25.52460402906521,25.56260402906512,10000.0,2.5032682650239674e+56,8.52031709660755,85203.1709660755,2.1999999999999997,187446.97612536608,150537.76461021826
222,1.9800297943722138,momentum,48,24.401604029063837,6.408604029057816,25.52460402906521,25.56260402906512,10000.0,2.5068759314827173e+56,8.532596428645922,85325.96428645922,2.1999999999999997,187717.12143021025,150537.76461021826
222,1.9800297943722138,momentum,49,24.776604029064295,6.408604029057816,25.52460402906521,25.56260402906512,10000.0,2.510404364723906e+56,8.54460607638891,85446.0607638891,2.1999999999999997,187981.33368055598,150537.76461021826
222,1.9800297943722138,momentum,50,25.151604029064753,6.408604029057816,25.52460402906521,25.56260402906512,10000.0,2.5138665792846197e+56,8.556390337119547,85563.90337119547,2.1999999999999997,188240.58741663,150537.76461021826
222,1.9800297943722138,momentum,51,25.523604029065208,6.408604029057816,25.52460402906521,25.56260402906512,10000.0,2.5172387682174644e+56,8.567868179674,85678.68179674001,2.1999999999999997,188493.099952828,150537.76461021826
222,1.9800297943722138,momentum,52,25.52460402906521,6.408604029057816,25.52460402906521,25.56260402906512,10000.0,5.034495504824592e+58,1713.5797517946057,17135797.517946057,2.1999999999999997,37698754.53948132,150537.76461021826
