# x,y
0.000000000000000000e+00,-1.408328236693841662e+00
3.780378037803780455e-02,-4.854551377663440248e-01
7.630763076307631176e-02,1.011680119092268404e+00
1.136113611361136144e-01,7.418358645873757151e-02
1.568156815681568117e-01,3.352326054121266719e+00
1.949194919491949174e-01,4.688068480769551627e+00
2.499249924992499317e-01,-3.605873085146893864e+00
2.907290729072907198e-01,-1.623416683571821340e+00
3.511351135113511268e-01,-5.760077476774274174e+00
4.103410341034103292e-01,-2.014553060252737726e+00
4.494449444944494387e-01,-3.275636478751028591e+00
4.934493449344934390e-01,-7.028006798998017501e+00
5.314531453145314721e-01,-5.042943472999183996e+00
5.754575457545755279e-01,-3.328024881929757761e+00
6.130613061306130485e-01,-3.666014225604690147e+00
6.680668066806680905e-01,3.325221048555399239e+00
7.085708570857085498e-01,6.915231793886580380e-01
7.514751475147515292e-01,-2.118866423974491653e+00
7.934793479347934664e-01,-4.819449720547046567e+00
8.306830683068306964e-01,-4.891820813998433159e+00
8.712871287128712838e-01,-2.553741936949539770e+00
9.163916391639164161e-01,1.488449825898215950e+00
9.626962696269627529e-01,-2.925017914781264050e+00
1.000000000000000000e+00,-3.861261199422886925e+00
